user,team,pctsuccess,pctfail,speed,edge
U9888@DOM40,normal,0,1,0,3
U9803@DOM1,normal,0.972067039,0.027932961,0.463687151,3
U9834@DOM1,normal,0.998407281,0.001592719,0.46894198,3
U994@DOM1,normal,0.999936521,6.34786E-05,0.098102694,5
U9801@DOM1,normal,0.5,0.5,0,3
U9983@DOM1,normal,0.999863151,0.000136849,0.405483076,4
U9869@DOM9,normal,0.555555556,0.444444444,0,3
U9924@DOM1,normal,1,0,0.102189781,3
U9863@DOM1,normal,0.998861048,0.001138952,0.422095672,15
U989@DOM1,normal,0.994200443,0.005799557,0.476671445,3
U9966@DOM1,normal,1,0,0.414507772,3
U1467@C3597,red,1,0,0.491071429,3
U9859@DOM1,normal,0.995660978,0.004339022,0.437373445,3
U9922@DOM9,normal,1,0,0.269076305,7
U9903@DOM1,normal,0.998878688,0.001121312,0.44943584,5
U212@DOM1,red,0.999865921,0.000134079,0.284716356,12
U9891@DOM9,normal,0.996987952,0.003012048,0.436746988,8
U227@DOM1,red,0.999538151,0.000461849,0.665791585,3
U737@DOM1,red,0.991708804,0.008291196,0.358194527,70
U9838@C2765,normal,1,0,0.625,3
U9914@DOM9,normal,0.913043478,0.086956522,0.347826087,3
U996@DOM1,normal,0.999494603,0.000505397,0.283203344,15
U86@DOM1,red,0.967202698,0.032797302,0.32874687,50
U995@DOM1,red,0.997138442,0.002861558,0.372059749,10
U9832@DOM1,normal,0.892794376,0.107205624,0.291739895,21
U9918@C23140,normal,1,0,0.2,3
U980@DOM1,normal,0.999442992,0.000557008,0.419726638,12
U9811@DOM1,normal,1,0,0.126153846,6
U9873@DOM1,normal,1,0,0.08649789,3
U9932@DOM1,normal,0.998032397,0.001967603,0.423217718,3
U9944@DOM1,normal,0.999718904,0.000281096,0.41813071,3
U9909@DOM1,normal,0.998006683,0.001993317,0.347540599,3
U9974@DOM1,normal,0.995116454,0.004883546,0.438805409,3
U9947@DOM1,red,0.998731374,0.001268626,0.282903538,70
U9882@DOM1,normal,0.998466258,0.001533742,0.450701139,5
U9866@DOM1,normal,0,1,0.111111111,3
U1653@DOM1,red,0.999827057,0.000172943,0.574222837,392
U9880@DOM1,normal,0.998532768,0.001467232,0.356211281,4
U9919@DOM9,normal,1,0,0.370967742,3
U9889@DOM1,normal,0.999935141,6.48593E-05,0.398365547,3
U9864@DOM1,normal,0.999769,0.000231,0.348656349,4
U983@DOM21,normal,1,0,0,4
U9886@DOM1,normal,0.988663375,0.011336625,0.416575242,6
U9927@DOM9,normal,1,0,0.181818182,3
U97@DOM1,normal,0.999272268,0.000727732,0.304038915,5
U9852@DOM21,normal,1,0,0,3
U4978@DOM1,red,0.998136225,0.001863775,0.443606687,20
U9971@DOM9,normal,1,0,0.288461538,3
U9869@DOM1,normal,0.923076923,0.076923077,0.538461538,3
U9865@C8348,normal,1,0,0.333333333,3
U9872@DOM1,normal,1,0,0.273993808,3
U9825@DOM1,normal,1,0,0.4393531,3
U9865@C18466,normal,1,0,0.5,3
U9909@C4533,normal,0,1,0,3
U250@DOM1,red,0.99842672,0.00157328,0.257682033,33
U9934@DOM1,normal,0.999850015,0.000149985,0.408459154,4
U9930@DOM9,normal,0.333333333,0.666666667,0,3
U9985@DOM3,normal,0.428571429,0.571428571,0.285714286,5
U9964@DOM1,normal,0.999422448,0.000577552,0.425720336,5
U114@DOM1,red,0.99771471,0.00228529,0.474715315,68
U9981@DOM1,normal,1,0,0.123024831,7
U9913@DOM9,normal,0.9375,0.0625,0.1875,3
U9957@DOM1,normal,0.991769547,0.008230453,0.358024691,3
U9878@DOM1,normal,0.999278117,0.000721883,0.440589056,6
U9895@DOM9,normal,0.984375,0.015625,0.5078125,3
U9940@DOM1,normal,0.999419617,0.000580383,0.167150319,6
U9925@DOM9,normal,1,0,0.461538462,3
U9955@DOM1,normal,0.998840975,0.001159025,0.404397477,4
U748@DOM1,red,0.998014435,0.001985565,0.418449998,130
U415@DOM1,red,0.985114542,0.014885458,0.477141992,17
U991@DOM9,normal,1,0,0,3
U9927@DOM1,normal,0.992276141,0.007723859,0.41501092,19
U86@C10,red,0.857142857,0.142857143,0.142857143,3
U10379@C3521,red,1,0,0,3
U9858@DOM1,normal,0.998452899,0.001547101,0.307185423,3
U9962@DOM1,normal,0.99923734,0.00076266,0.398680598,4
U1581@DOM1,red,1,0,0.115555556,5
U5254@DOM1,red,0.999227838,0.000772162,0.217344523,3
U9921@DOM1,normal,1,0,0.077367206,3
U9808@DOM1,normal,0.363636364,0.636363636,0,3
U9847@DOM1,normal,0.998043053,0.001956947,0.472276582,3
U9879@DOM9,normal,1,0,0.361788618,9
U9915@DOM1,normal,0.997098334,0.002901666,0.46233208,3
U9971@DOM1,normal,0.999383065,0.000616935,0.373965349,3
U9909@lanl.gov,normal,0,1,0,3
U795@DOM1,red,0.999211463,0.000788537,0.414274771,5
U9924@DOM9,normal,1,0,0.25862069,3
U9931@C20931,normal,0.945525292,0.054474708,0.424124514,3
U9920@DOM1,normal,1,0,0.214285714,3
U9954@DOM1,normal,0.995942255,0.004057745,0.443269606,3
U9877@DOM1,normal,0.999214666,0.000785334,0.385868898,4
U314@DOM1,red,0.997024223,0.002975777,0.409961899,13
U3005@DOM1,red,0.99848788,0.00151212,0.42920951,17
U9946@DOM1,normal,0.996030246,0.003969754,0.47826087,5
U9865@C21668,normal,0.037974684,0.962025316,0.436708861,3
U9855@DOM1,normal,0.99915779,0.00084221,0.442308645,3
U9833@DOM1,normal,0.990485252,0.009514748,0.413891532,14
U9941@DOM1,normal,1,0,0.666666667,3
U9972@DOM1,normal,0.995130763,0.004869237,0.362365507,3
U9893@DOM1,normal,0.999838462,0.000161538,0.423713755,5
U9930@DOM1,normal,0.999324781,0.000675219,0.441022178,3
U9865@C20791,normal,1,0,0.5,3
U9843@DOM1,normal,1,0,0.576923077,3
U9981@DOM9,normal,1,0,0.31570997,9
U9830@DOM1,normal,1,0,0.57550708,3
U1506@DOM1,red,0.995002836,0.004997164,0.366845844,78
U9901@DOM1,normal,1,0,0,3
U1569@DOM1,red,1,0,0.037179734,4
U9970@DOM1,normal,1,0,0.490160302,3
U9975@DOM1,normal,0.987878788,0.012121212,0.224242424,5
U9919@DOM1,normal,0.977973568,0.022026432,0.308370044,3
U9828@DOM9,normal,1,0,0.351724138,3
U989@DOM21,normal,1,0,0,3
U980@DOM9,normal,1,0,0.363636364,3
U8170@DOM1,red,0.99047619,0.00952381,0.114285714,3
U9842@DOM1,normal,1,0,0.5,3
U9918@C24978,normal,1,0,0.5,3
U988@DOM1,normal,0.999942785,5.72148E-05,0.412261128,3
U9926@C19460,normal,0.6,0.4,0,3
U9980@DOM1,normal,0.99909991,0.00090009,0.084608461,4
U9916@C24202,normal,1,0,0.5,3
U9918@C24871,normal,0.904761905,0.095238095,0.238095238,3
U9907@DOM1,normal,0.414634146,0.585365854,0.146341463,3
U9860@DOM1,normal,0.999775087,0.000224913,0.369681748,3
U9956@C18863,normal,1,0,0,3
U218@DOM1,red,0.997917727,0.002082273,0.433644903,15
U9898@DOM1,normal,0.982668977,0.017331023,0.12305026,4
U3206@DOM1,red,0.999335327,0.000664673,0.402696672,8
U825@DOM1,red,0.999437205,0.000562795,0.397463094,4
U9888@DOM1,normal,0.998231653,0.001768347,0.317712938,6
U9946@DOM9,normal,0.991735537,0.008264463,0.330578512,3
U99@DOM1,normal,0.999142316,0.000857684,0.423459127,6
U288@DOM1,red,0.989366097,0.010633903,0.383340729,15
U9918@C15095,normal,0,1,0,3
U1789@DOM1,red,1,0,0.363636364,3
U9912@DOM1,normal,1,0,0.045454545,3
U9822@DOM1,normal,1,0,0.435294118,3
U3635@DOM1,red,0.9990105,0.0009895,0.39134737,221
U9875@DOM1,normal,0.993748465,0.006251535,0.275715019,3
U9919@C24889,normal,0,1,0,3
U2758@DOM1,red,0.997876122,0.002123878,0.362966495,51
U342@DOM1,red,0.999524263,0.000475737,0.37549001,86
U349@DOM1,red,0.999570618,0.000429382,0.33976384,19
U1600@DOM1,red,0.993433014,0.006566986,0.407983825,16
U9854@DOM1,normal,0.995976223,0.004023777,0.455875629,3
U9933@DOM21,normal,1,0,0,3
U9824@DOM9,normal,1,0,0.29468599,9
U9923@DOM1,normal,1,0,0.053191489,3
U9857@DOM9,normal,1,0,0.25,3
U9893@DOM21,normal,1,0,0,3
U9812@DOM1,normal,0.999211045,0.000788955,0.214201183,3
U293@DOM1,red,0.947234396,0.052765604,0.298279481,38
U8777@C3388,red,1,0,0,3
U9979@DOM1,normal,0.999586093,0.000413907,0.439569536,3
U9947@DOM354,normal,0,1,0,3
U9813@DOM1,normal,0.998031496,0.001968504,0.36023622,9
U7375@DOM1,red,0.995023573,0.004976427,0.456940807,32
U4112@DOM1,red,0.997397617,0.002602383,0.405013012,3
U2231@DOM1,red,0.998519472,0.001480528,0.417122626,8
U8168@C19038,red,1,0,0.5,3
U207@DOM1,red,0.998408657,0.001591343,0.383277257,34
U3486@DOM1,red,0.995378088,0.004621912,0.422260949,4
U986@DOM9,normal,1,0,0.468599034,9
U9835@DOM1,normal,0.999622142,0.000377858,0.404213112,3
U9827@DOM1,normal,1,0,0.480686695,3
U9831@DOM9,normal,1,0,0.358490566,3
U9969@DOM1,normal,1,0,0.445684524,3
U1450@DOM1,red,0.998528781,0.001471219,0.56600728,3
U9407@DOM1,red,0.999350588,0.000649412,0.21814339,22
U9958@DOM1,normal,0.953488372,0.046511628,0.453488372,4
U8601@DOM1,red,0.99923198,0.00076802,0.38324217,76
U9896@DOM1,normal,0.998378978,0.001621022,0.400989677,3
U9818@DOM1,normal,0.996487119,0.003512881,0.43911007,30
U66@DOM1,red,0.999991507,8.49261E-06,0.698477194,13
U9871@DOM1,normal,0.99948353,0.00051647,0.371112131,3
U1106@DOM1,red,0.998858054,0.001141946,0.400618375,12
U9817@DOM1,normal,1,0,0.427083333,3
U990@DOM9,normal,1,0,0,6
U9973@DOM9,normal,0.992592593,0.007407407,0.333333333,3
U3764@DOM1,red,0.999022688,0.000977312,0.374310646,16
U9900@DOM1,normal,1,0,0.301587302,4
U9982@DOM9,normal,1,0,0.166666667,3
U6572@DOM1,red,0.999464517,0.000535483,0.415619187,3
U9807@DOM1,normal,0.992277992,0.007722008,0.312741313,3
U1723@DOM1,red,0.999002284,0.000997716,0.555218056,442
U9950@DOM9,normal,1,0,0.35326087,3
U9891@DOM1,normal,0.998789346,0.001210654,0.353640609,8
U9918@C21524,normal,0.666666667,0.333333333,0.333333333,3
U9831@DOM1,normal,1,0,0.415857605,3
U3277@C2519,red,0.823027719,0.176972281,0.253731343,3
U1025@DOM1,red,0.994080795,0.005919205,0.385612443,38
U9822@DOM9,normal,1,0,0.390243902,3
U982@DOM1,normal,1,0,0.281125261,3
U9977@DOM1,normal,1,0,0.452830189,3
U9935@DOM9,normal,0.9375,0.0625,0.375,3
U524@DOM1,red,0.995540245,0.004459755,0.406558778,8
U9877@DOM21,normal,1,0,0,3
U737@C10,red,0.5,0.5,0,3
U9841@DOM1,normal,1,0,0.428571429,3
U991@DOM1,normal,0.996534036,0.003465964,0.454075974,6
U7507@DOM1,red,0.993932794,0.006067206,0.441505912,38
U9802@C2359,normal,1,0,0.333333333,3
U9916@DOM1,normal,0.999247295,0.000752705,0.375819351,3
U9814@DOM1,normal,0.999739732,0.000260268,0.433137265,3
U990@DOM1,normal,0.998755093,0.001244907,0.422476234,6
U9908@DOM1,normal,0.999250375,0.000749625,0.396551724,18
U9823@DOM1,normal,1,0,0.075747508,3
U9929@DOM1,normal,0.995588235,0.004411765,0.366176471,10
U9818@DOM3,normal,1,0,0.666666667,3
U9978@DOM1,normal,1,0,0.341666667,4
U2575@DOM1,red,0.998955068,0.001044932,0.375240609,21
U1048@DOM1,red,0.997826678,0.002173322,0.361734706,48
U9882@DOM40,normal,0,1,0,3
U162@DOM1,red,0.998993711,0.001006289,0.356999102,86
U9868@DOM1,normal,0.999366808,0.000633192,0.436839106,3
U9874@DOM1,normal,1,0,0.323404255,3
U9861@DOM1,normal,0.999903016,9.69838E-05,0.248698801,3
U9884@DOM9,normal,1,0,0.285714286,3
U9918@C11238,normal,0.4,0.6,0.2,3
U9813@DOM9,normal,1,0,0.330508475,4
U9906@DOM9,normal,1,0,0,3
U374@DOM1,red,0.99264286,0.00735714,0.398360601,22
U1519@DOM1,red,0.998657718,0.001342282,0.068456376,3
U9820@DOM1,normal,1,0,0.491258741,3
U9870@DOM1,normal,0.998563631,0.001436369,0.414248779,3
U1306@DOM1,red,0.99971732,0.00028268,0.434317328,4
U9942@DOM1,normal,0.99778812,0.00221188,0.477627759,4
U9903@DOM9,normal,1,0,0.258064516,6
U9884@DOM1,normal,0.996787744,0.003212256,0.295774648,16
U9906@DOM1,normal,0.999344585,0.000655415,0.463296739,4
U9928@DOM9,normal,0.991304348,0.008695652,0.417391304,4
U4856@DOM1,red,0.999887305,0.000112695,0.229559926,3
U9899@DOM9,normal,1,0,0.282967033,10
U9846@DOM9,normal,1,0,0.317345231,8
U9939@DOM1,normal,1,0,0.082506763,3
U4448@DOM1,red,0.998424822,0.001575178,0.407146913,28
U9929@DOM9,normal,0.991631799,0.008368201,0.347280335,6
U9818@DOM9,normal,1,0,0.3,3
U9@win.lanl.gov,normal,0,1,0,3
U9892@DOM9,normal,0.977272727,0.022727273,0.397727273,5
U8168@C685,red,1,0,0.357142857,3
U9909@DOM9,normal,1,0,0.160883281,3
U9894@DOM9,normal,1,0,0.346153846,3
U1592@DOM1,red,0.995767384,0.004232616,0.349714298,67
U9887@DOM1,normal,0.974991316,0.025008684,0.379298367,3
U9951@DOM1,normal,0.99964943,0.00035057,0.263277826,3
U9908@DOM9,normal,1,0,0.365591398,4
U9936@DOM1,normal,0.998746505,0.001253495,0.406421753,3
U679@DOM1,red,0.999960961,3.90392E-05,0.203062629,6
U7311@DOM1,red,0.983310153,0.016689847,0.109179416,10
